Occupation,Smartphone_with_internet,Television,Tier,Source
Cultivator,45.00,68.00,C,Rural agri; COVID smartphone surge; +15pp from 2019
Agricultural_labourer,35.00,58.00,C,Lowest income; +13pp from 2019
Household_industry,50.00,73.00,C,
Manufacturing,62.00,82.00,C,
Construction,57.00,75.00,C,
Trade_retail,76.00,88.00,C,Muni concentrated; WhatsApp trade
Transport_logistics,70.00,80.00,C,
Services,80.00,90.00,C,
Government_services_teachers,90.00,94.00,C,Online work/school highest
Out_migrant_worker,80.00,80.00,D,Smartphone-heavy when outside; COVID kept many connected
