Occupation,Smartphone_with_internet,Television,Tier,Source
Cultivator,48.0,68.0,C,Continued Jio uptake in rural CDB; +10pp vs 2021
Agricultural_labourer,38.0,58.0,C,
Household_industry,55.0,72.0,C,Weavers using smartphones for silk market pricing/orders
Manufacturing,65.0,82.0,C,
Construction,62.0,78.0,C,
Trade_retail,82.0,92.0,C,Urban commercial; near-saturation
Transport_logistics,75.0,84.0,C,
Services,85.0,93.0,C,
Government_services_teachers,92.0,97.0,C,
Out_migrant_worker,80.0,80.0,D,Working outside; smartphone essential
