Occupation,Smartphone_with_internet,Television,Tier,Source
Cultivator,48,74,C,Significant jump from 2019 (35→48%); COVID digital adoption; Krishak Bandhu online enrollment
Agricultural_labourer,32,62,C,Lower income; slower digital adoption; notable jump from 2019 (22→32%) from WFH/school pressure
Household_industry,50,75,C,
Manufacturing,62,84,C,
Construction,56,78,C,Reverse-migrant workers returned with Kolkata-acquired digital habits
Trade_retail,75,90,C,Temple-economy traders; Muni concentrated
Transport_logistics,70,84,C,
Services,82,92,C,Kolkata commuter workforce; near-saturation smartphone access
Government_services_teachers,90,95,C,Online government work + school remote learning requirement
Out_migrant_worker,85,88,C,Migrant workers require smartphone for remittance + family contact
