Occupation,Smartphone_with_internet,Television,Tier,Source
Cultivator,55,62,C,Post-2022 rural smartphone saturation in WB
Agricultural_labourer,45,52,C,Significant improvement from 2021
Household_industry,58,63,C,
Manufacturing,60,65,E,
Construction,70,70,C,Workers keep smartphone essential for urban contacts
Trade_retail,80,80,C,UPI/digital payments standard
Transport_logistics,72,70,C,
Services,82,85,C,
Government_services_teachers,92,92,C,Near-saturation
Out_migrant_worker,88,78,D,Smartphone essential for Kerala/TN remittances
