Occupation,Smartphone_with_internet,Television,Tier,Source
Cultivator,30.00,65.00,C,Rural ag lower access; Dooars below WB average
Agricultural_labourer,22.00,55.00,C,Tea-plucking labour — lowest income segment
Household_industry,35.00,68.00,C,
Manufacturing,45.00,75.00,C,
Construction,40.00,70.00,C,
Trade_retail,65.00,88.00,C,Alipurduar town traders
Transport_logistics,58.00,80.00,C,
Services,72.00,90.00,C,
Government_services_teachers,85.00,95.00,C,Highest
Out_migrant_worker,68.00,75.00,D,Working outside; smartphone-dependent for remittances
