Occupation,Smartphone_with_internet,Television,Tier,Source
Cultivator,38.00,52.00,C,Rural smallholder; notable smartphone gain post-Jio 4G
Agricultural_labourer,32.00,44.00,C,Tea-garden pluckers; lowest but increased from 18% (2019)
Household_industry,40.00,54.00,C,
Manufacturing,48.00,62.00,C,Tea-factory workers; better connectivity
Construction,46.00,56.00,C,
Trade_retail,68.00,78.00,C,Jaigaon border market traders; high smartphone penetration
Transport_logistics,64.00,72.00,C,Truck/jeep operators; WhatsApp-dependent
Services,62.00,70.00,C,
Government_services_teachers,82.00,90.00,C,Highest access; online work during COVID-19
Out_migrant_worker,72.00,68.00,D,Remittance income; smartphone for family contact
