Occupation,Smartphone_with_internet,Television,Tier,Source
Cultivator,45.00,65.00,E,COVID-19 accelerated rural smartphone adoption; hill cultivator
Agricultural_labourer,35.00,58.00,E,Lowest asset tier; COVID-19 period smart-phone adoption
Household_industry,50.00,70.00,E,Handicraft/weaving workers; online sales channels developed
Manufacturing,58.00,78.00,E,
Construction,55.00,72.00,E,
Trade_retail,78.00,87.00,E,Kalimpong Muni market; smartphone for trade comms; further growth
Transport_logistics,72.00,80.00,E,Hill taxi operators; smartphone heavy; apps for booking
Services,80.00,88.00,E,Tourism/hospitality; online presence essential even during COVID-19
Government_services_teachers,90.00,93.00,E,Highest; govt employees; work-from-home during lockdowns
Out_migrant_worker,78.00,76.00,D,Army/domestic worker; smartphone for remittance; WhatsApp family contact
