Occupation,Smartphone_with_internet,Television,Four_wheeler,Tier,Source
Trade_retail,97.0,98.0,27.0,C,Business community: near-saturation; digital commerce/UPI essential
Government_services_teachers,95.0,97.0,19.0,C,Bhadralok service class; WFH normalization
Services,96.0,97.0,23.0,C,Urban professional; remote-work hybrid standard
Transport_logistics,80.0,90.0,5.0,C,Gig economy logistics — very high smartphone (Zomato/Swiggy delivery)
Manufacturing,70.0,89.0,8.0,C,
Construction,55.0,77.0,1.0,C,Migrant workers; rising smartphone adoption
Domestic_worker,50.0,65.0,0.0,C,Rising UPI/digital adoption even in domestic worker class
Student,93.0,95.0,12.0,C,Urban youth: near-saturation
Household_industry,75.0,91.0,3.0,C,Home-based industry; UPI essential for commerce
Petty_vendor,82.0,92.0,3.0,C,Near-universal UPI among street vendors in urban Kolkata by 2024
