Occupation,Smartphone_with_internet,Television,Tier,Source
Cultivator,48,76,C,COVID-era smartphone surge; medium-farmer Mahishya HH higher than ag-labourer
Agricultural_labourer,38,66,C,Lowest income; Bagdi SC ag-labourer
Household_industry,52,78,C,
Manufacturing,68,88,C,Haldia fringe: higher income
Construction,60,80,C,Return migrants with smartphone from outside
Trade_retail,75,90,C,
Transport_logistics,65,82,C,Coastal fishermen: higher mobile use for sea communication
Services,80,92,C,
Government_services_teachers,90,96,C,
Out_migrant_worker,88,85,C,Migrants have high smartphone access
