Occupation,Smartphone_with_internet,Television,Tier,Source
Cultivator,42.00,65.00,C,+14pp from 2019; COVID-driven smartphone adoption in rural ag; Cooch Behar
Agricultural_labourer,32.00,55.00,C,+12pp from 2019; lowest income still
Household_industry,48.00,68.00,C,+16pp from 2019
Manufacturing,60.00,78.00,C,+15pp
Construction,55.00,72.00,C,+17pp; COVID return migrants brought smartphones
Trade_retail,75.00,85.00,C,+15pp; Dinhata town market; digital payments growing
Transport_logistics,72.00,78.00,C,+17pp; NH17 truckers; smartphone for payments/apps
Services,80.00,88.00,C,+15pp
Government_services_teachers,92.00,95.00,C,+12pp; near-saturation
Out_migrant_worker,80.00,75.00,D,+15pp; out-migrants heavily smartphone-dependent for remittances
