Caste,BJP,AITC,INC,LF,Other_NOTA,Tier,Source
UC_bhadralok,52.0,32.0,3.0,8.0,5.0,C,UC BJP lean persists but somewhat moderated from 2021 peak; SSC scam frustrated educated class but BJP not the primary beneficiary
OBC,46.0,42.0,1.0,8.0,3.0,D,OBC BJP moderation from 2021; PM Kisan now in TMC's column (WB joined); Lakshmir Bhandar holds Mahishya women
└ Mahishya,48.0,40.0,1.0,8.0,3.0,D,Load-bearing cell; slight BJP retreat from 2021 peak (52%); Hooghly Mahishya BJP plurality maintained but TMC welfare schemes effective
└ Sadgop,42.0,46.0,1.5,8.0,2.5,D,More TMC-leaning; Lakshmir Bhandar holds Sadgop women
└ Kurmi,38.0,48.0,2.0,9.0,3.0,D,OBC welfare loyal; TMC
└ Tili_other_OBC,36.0,50.0,2.0,9.0,3.0,D,Temple-economy traders
SC_total,37.0,49.0,2.0,9.5,2.5,C,SC BJP vote slightly retreating from 2021; TMC welfare and Lakshmir Bhandar for SC women
└ Bagdi_SC,37.0,50.0,2.0,9.0,2.0,C,
└ Bauri_SC,34.0,52.0,2.0,9.5,2.5,C,
└ Namasudra_SC,44.0,41.0,2.0,9.5,3.5,C,Namasudra BJP lean persists; CAA now notified (Mar 2024) but actual citizenship grants minimal; tempered enthusiasm
ST_total,34.0,45.0,1.0,16.5,3.5,C,ST retains Left residual; slight AITC improvement
Muslim,2.5,86.0,1.5,8.0,2.0,C,Same as D.15
