Occupation,Smartphone_with_internet,Television,Tier,Source
Cultivator,65,82,C,Digital saturation reached rural cultivators by 2024
Agricultural_labourer,55,72,C,Jio affordable; significant jump
Household_industry,70,83,C,
Manufacturing,80,90,C,
Construction,77,84,C,
Trade_retail,92,95,C,Near-saturation; UPI QR mandatory in many shops
Transport_logistics,87,90,C,Petrapole logistics workers smartphone-heavy; trade disrupted Aug 2024
Services,92,95,C,
Government_services_teachers,96,98,C,Highest; SSC scam anxiety about job futures but ownership unaffected
Out_migrant_worker,90,85,D,Smartphone essential for remittance; near-universal
