Occupation,Smartphone-internet,TV,Tier,Source
Cultivator,30,68,C,Rural ag; delta region; lower than N24P cultivators
Ag-labourer,22,58,C,Lowest income bracket
Fisher / pisciculture,35,65,D,Working-boat fishermen carry phones for communication; seasonally high usage
Household industry,38,70,C,
Construction,45,72,C,
Trade / retail,65,88,C,Muni concentrated
Transport (river/ferry),55,78,D,
Services (private),72,90,C,
Govt services,85,95,C,Highest
Out-migrant,68,75,D,Working outside; smartphone for remittances
Tourism / hospitality,62,88,D,Muni hotel/ghat economy
