ac08_id,ac08_name,pc01_state_id,pc01_district_id,pc01_state_name,pc01_district_name,tr_ac_name
2008-01-016,kangan,01,,jammu kashmir,,kangan
2008-01-036,shopian,01,,jammu kashmir,,shopian
2008-01-011,sonawari,01,,jammu kashmir,,sonawari
2008-01-037,noorabad,01,,jammu kashmir,,noorabad
2008-01-048,leh,01,,jammu kashmir,,leh
2008-01-051,kishtwar,01,,jammu kashmir,,kishtwar
2008-01-038,kulgam,01,,jammu kashmir,,kulgam
2008-01-056,banihal,01,,jammu kashmir,,banihal
2008-01-059,gool arnas,01,,jammu kashmir,,gool arnas
2008-01-069,vijay pur,01,,jammu kashmir,,vijay pur
2008-01-035,wachi,01,,jammu kashmir,,wachi
2008-01-009,gurez,01,,jammu kashmir,,gurez
2008-01-047,nubra,01,,jammu kashmir,,nubra
2008-01-039,hom shali bugh,01,,jammu kashmir,,hom shali bugh
2008-01-058,reasi,01,,jammu kashmir,,reasi
2008-01-055,ramban,01,,jammu kashmir,,ramban
2008-01-057,gulab garh,01,,jammu kashmir,,gulab garh
2008-01-017,ganderbal,01,,jammu kashmir,,ganderbal
2008-01-010,bandipora,01,,jammu kashmir,,bandipora
2008-01-041,devsar,01,,jammu kashmir,,devsar
2008-01-068,samba sc,01,,jammu kashmir,,samba sc
2008-01-052,inderwal,01,,jammu kashmir,,inderwal
2008-01-004,handwara,01,01,jammu kashmir,kupwara,handwara
2008-01-002,kupwara,01,01,jammu kashmir,kupwara,kupwara
2008-01-003,lolab,01,01,jammu kashmir,kupwara,lolab
2008-01-005,langate,01,01,jammu kashmir,kupwara,langate
2008-01-001,karnah,01,01,jammu kashmir,kupwara,karnah
2008-01-013,baramulla,01,02,jammu kashmir,baramula,baramulla
2008-01-014,gulmarg,01,02,jammu kashmir,baramula,gulmarg
2008-01-007,rafiabad,01,02,jammu kashmir,baramula,rafiabad
2008-01-006,uri,01,02,jammu kashmir,baramula,uri
2008-01-012,sangrama,01,02,jammu kashmir,baramula,sangrama
2008-01-015,pattan,01,02,jammu kashmir,baramula,pattan
2008-01-008,sopore,01,02,jammu kashmir,baramula,sopore
2008-01-025,batmaloo,01,03,jammu kashmir,srinagar,batmaloo
2008-01-020,eidgah,01,03,jammu kashmir,srinagar,eidgah
2008-01-018,hazratbal,01,03,jammu kashmir,srinagar,hazratbal
2008-01-021,khanyar,01,03,jammu kashmir,srinagar,khanyar
2008-01-024,sonawar,01,03,jammu kashmir,srinagar,sonawar
2008-01-019,zadibal,01,03,jammu kashmir,srinagar,zadibal
2008-01-022,habba kadal,01,03,jammu kashmir,srinagar,habba kadal
2008-01-023,amira kadal,01,03,jammu kashmir,srinagar,amira kadal
2008-01-027,budgam,01,04,jammu kashmir,badgam,budgam
2008-01-026,chadoora,01,04,jammu kashmir,badgam,chadoora
2008-01-030,chrar,01,04,jammu kashmir,badgam,chrar
2008-01-028,beerwah,01,04,jammu kashmir,badgam,beerwah
2008-01-029,khan sahib,01,04,jammu kashmir,badgam,khan sahib
2008-01-032,pampore,01,05,jammu kashmir,pulwama,pampore
2008-01-031,tral,01,05,jammu kashmir,pulwama,tral
2008-01-033,pulwama,01,05,jammu kashmir,pulwama,pulwama
2008-01-034,rajpora,01,05,jammu kashmir,pulwama,rajpora
2008-01-046,pahalgam,01,06,jammu kashmir,anantnag,pahalgam
2008-01-045,bijbehara,01,06,jammu kashmir,anantnag,bijbehara
2008-01-040,anantnag,01,06,jammu kashmir,anantnag,anantnag
2008-01-043,kokernag,01,06,jammu kashmir,anantnag,kokernag
2008-01-042,dooru,01,06,jammu kashmir,anantnag,dooru
2008-01-044,shangus,01,06,jammu kashmir,anantnag,shangus
2008-01-050,zanskar,01,08,jammu kashmir,kargil,zanskar
2008-01-049,kargil,01,08,jammu kashmir,kargil,kargil
2008-01-053,doda,01,09,jammu kashmir,doda,doda
2008-01-054,bhaderwah,01,09,jammu kashmir,doda,bhaderwah
2008-01-062,ram nagar,01,10,jammu kashmir,udhampur,ram nagar
2008-01-061,chenani,01,10,jammu kashmir,udhampur,chenani
2008-01-060,udhampur,01,10,jammu kashmir,udhampur,udhampur
2008-01-087,poonch haveli,01,11,jammu kashmir,punch,poonch haveli
2008-01-085,surankote,01,11,jammu kashmir,punch,surankote
2008-01-086,mendhar,01,11,jammu kashmir,punch,mendhar
2008-01-081,nowshera,01,12,jammu kashmir,rajauri,nowshera
2008-01-083,rajouri,01,12,jammu kashmir,rajauri,rajouri
2008-01-084,kala kote,01,12,jammu kashmir,rajauri,kala kote
2008-01-082,darhal,01,12,jammu kashmir,rajauri,darhal
2008-01-079,akhnoor,01,13,jammu kashmir,jammu,akhnoor
2008-01-077,marh,01,13,jammu kashmir,jammu,marh
2008-01-075,ranbir singh pura,01,13,jammu kashmir,jammu,ranbir singh pura
2008-01-070,nagrota,01,13,jammu kashmir,jammu,nagrota
2008-01-080,chhamb,01,13,jammu kashmir,jammu,chhamb
2008-01-074,bishnah,01,13,jammu kashmir,jammu,bishnah
2008-01-072,jammu east,01,13,jammu kashmir,jammu,jammu east
2008-01-071,gandhi nagar,01,13,jammu kashmir,jammu,gandhi nagar
2008-01-076,suchet garh,01,13,jammu kashmir,jammu,suchet garh
2008-01-078,raipur domana,01,13,jammu kashmir,jammu,raipur domana
2008-01-073,jammu west,01,13,jammu kashmir,jammu,jammu west
2008-01-066,billawar,01,14,jammu kashmir,kathua,billawar
2008-01-065,kathua,01,14,jammu kashmir,kathua,kathua
2008-01-064,basohli,01,14,jammu kashmir,kathua,basohli
2008-01-067,hira nagar,01,14,jammu kashmir,kathua,hira nagar
2008-01-063,bani,01,14,jammu kashmir,kathua,bani
