Occupation,Smartphone_with_internet,Television,Tier,Source
Cultivator,22.00,50.00,C,Rural ag baseline; below WB avg
Agricultural_labourer,15.00,40.00,C,Lowest income bracket
Household_industry,25.00,52.00,C,
Manufacturing,35.00,60.00,C,
Construction,30.00,55.00,C,
Trade_retail,52.00,72.00,C,Market town access
Transport_logistics,45.00,65.00,C,Mobile-phone dependent
Services,55.00,75.00,C,
Government_services_teachers,75.00,88.00,C,Highest in AC
Out_migrant_worker,60.00,65.00,D,Working outside; smartphone heavy
Tea_garden_plantation,18.00,48.00,D,Tea-line estate worker; below-avg
