Occupation,Smartphone_with_internet,Television,Tier,Source
Cultivator,48,72,C,Post-COVID smartphone surge; WhatsApp farming information
Agricultural_labourer,38,62,C,Jan Dhan → DBT → mobile banking drove smartphone uptake
Household_industry,52,74,C,Tobacco/handloom artisans; moderate uptake
Manufacturing,65,82,C,
Construction,60,76,C,Return migrants often acquired smartphones during outside stay
Trade_retail,78,90,C,Census-town commercial; high
Transport_logistics,72,84,C,
Services,75,87,C,
Government_services_teachers,88,95,C,Govt employees; WhatsApp essential for WB e-governance
Out_migrant_worker,78,78,D,Smartphones essential for remittances / family contact
