Occupation,Smartphone_with_internet,Television,Tier,Source
Cultivator,22.00,50.00,E,Rural smallholder; below Adivasi tea-garden worker avg
Agricultural_labourer,18.00,42.00,E,Lowest income; limited connectivity
Household_industry,25.00,52.00,E,
Manufacturing,38.00,62.00,E,
Construction,35.00,60.00,E,
Trade_retail,60.00,80.00,E,Mal Municipality hub
Transport_logistics,50.00,72.00,E,
Services,62.00,78.00,E,
Government_services_teachers,80.00,90.00,E,Highest access
Out_migrant_worker,65.00,72.00,D,Working outside; smartphone-reliant for remittances
