Occupation,Smartphone_with_internet,Television,Tier,Source
Cultivator,48.00,60.00,C,Rural agricultural baseline; post-COVID-19 smartphone surge even in farming households; +20pp from 2019
Agricultural_labourer,35.00,50.00,C,Lowest income stratum; still significant uplift from 2019 est. 18%
Household_industry,55.00,65.00,C,Small artisan/weaver households; smartphone for trade
Manufacturing,65.00,75.00,C,
Construction,62.00,68.00,C,
Trade_retail,80.00,82.00,C,Sitalkuchi bazaar traders; WhatsApp for business
Transport_logistics,75.00,78.00,C,
Services,82.00,85.00,C,
Government_services_teachers,92.00,92.00,C,Highest connectivity
Out_migrant_worker,82.00,72.00,D,Working outside; smartphone-heavy for remittance transfers
