Occupation,Smartphone_with_internet,Television,Tier,Source
Cultivator,38.00,60.00,C,Rural North Bengal cultivator; +13pp from 2019 (post-COVID surge)
Agricultural_labourer,28.00,50.00,C,Tea-belt wage labour; larger jump; Jio affordability
Household_industry,42.00,65.00,C,
Manufacturing,58.00,76.00,C,
Construction,53.00,68.00,C,
Trade_retail,72.00,85.00,C,Dhupguri town traders; near-saturation
Transport_logistics,67.00,80.00,C,NH-17 corridor; smartphone-heavy for logistics
Services,75.00,87.00,C,
Government_services_teachers,88.00,94.00,C,Highest
Out_migrant_worker,74.00,74.00,D,Working outside; smartphone required for remittance; high adoption
