Occupation,Smartphone_with_internet,Television,Tier,Source
Cultivator,45.00,63.00,E,"Post-COVID surge; up from 2019 (28%, 58%)"
Agricultural_labourer,33.00,53.00,E,"Lowest income; up from 2019 (20%, 48%)"
Household_industry,50.00,67.00,E,
Manufacturing,60.00,75.00,E,
Construction,55.00,70.00,E,
Trade_retail,72.00,84.00,E,Muni concentrated; higher access
Transport_logistics,66.00,78.00,E,Border port workers
Services,74.00,86.00,E,
Government_services_teachers,88.00,93.00,E,Highest access
Out_migrant_worker,75.00,78.00,E,Smartphone-heavy; stable
