Occupation,Smartphone_with_internet,Television,Tier,Source
Cultivator,55,62,C,Major increase from 2021 (30%); Kisan-credit linked smartphones; Agri-apps
Agricultural_labourer,48,55,C,DBT-linked phones drove adoption
Forest_produce_collection,36,46,D,+20pp from 2021 (16%); Jio rural coverage improved
Household_industry,60,64,C,
Manufacturing,65,68,C,
Construction,72,66,C,WhatsApp job market near-universal
Trade_retail,88,88,C,Near-saturation
Transport_logistics,82,80,C,
Services,90,90,C,Near-saturation
Government_services_teachers,98,95,C,Full saturation
Out_migrant_worker,95,75,D,Smartphone essential for remote remittance and job search
