Occupation,Smartphone_with_internet,Television,Tier,Source
Cultivator,28.00,60.00,C,Rural agricultural baseline; North Bengal lag
Agricultural_labourer,20.00,50.00,C,Lowest income segment
Household_industry,32.00,65.00,C,
Manufacturing,45.00,75.00,C,
Construction,38.00,65.00,C,
Trade_retail,62.00,85.00,C,Muni concentrated
Transport_logistics,55.00,78.00,C,Road transport workers
Services,65.00,85.00,C,
Government_services_teachers,82.00,92.00,C,Highest access
Out_migrant_worker,65.00,72.00,D,Working outside; smartphone-heavy for remittance
